Created as New Dataset,Sample 003 By CHEM 370 Date Monday, March 02 2020
cm-1,A
2739.00,0.0269
2738.00,0.0268
2737.00,0.0267
2736.00,0.0266
2735.00,0.0265
2734.00,0.0265
2733.00,0.0264
2732.00,0.0263
2731.00,0.0261
2730.00,0.0260
2729.00,0.0259
2728.00,0.0258
2727.00,0.0257
2726.00,0.0256
2725.00,0.0255
2724.00,0.0254
2723.00,0.0253
2722.00,0.0251
2721.00,0.0250
2720.00,0.0249
2719.00,0.0248
2718.00,0.0247
2717.00,0.0246
2716.00,0.0244
2715.00,0.0243
2714.00,0.0241
2713.00,0.0240
2712.00,0.0239
2711.00,0.0238
2710.00,0.0236
2709.00,0.0235
2708.00,0.0234
2707.00,0.0233
2706.00,0.0232
2705.00,0.0231
2704.00,0.0230
2703.00,0.0229
2702.00,0.0229
2701.00,0.0228
2700.00,0.0227
2699.00,0.0226
2698.00,0.0225
2697.00,0.0225
2696.00,0.0224
2695.00,0.0223
2694.00,0.0222
2693.00,0.0221
2692.00,0.0221
2691.00,0.0220
2690.00,0.0220
2689.00,0.0219
2688.00,0.0219
2687.00,0.0219
2686.00,0.0218
2685.00,0.0217
2684.00,0.0217
2683.00,0.0217
2682.00,0.0216
2681.00,0.0216
2680.00,0.0216
2679.00,0.0215
2678.00,0.0214
2677.00,0.0214
2676.00,0.0213
2675.00,0.0213
2674.00,0.0212
2673.00,0.0212
2672.00,0.0212
2671.00,0.0211
2670.00,0.0211
2669.00,0.0210
2668.00,0.0210
2667.00,0.0209
2666.00,0.0208
2665.00,0.0208
2664.00,0.0207
2663.00,0.0207
2662.00,0.0207
2661.00,0.0206
2660.00,0.0206
2659.00,0.0205
2658.00,0.0204
2657.00,0.0203
2656.00,0.0203
2655.00,0.0202
2654.00,0.0202
2653.00,0.0201
2652.00,0.0201
2651.00,0.0200
2650.00,0.0199
2649.00,0.0198
2648.00,0.0198
2647.00,0.0197
2646.00,0.0197
2645.00,0.0196
2644.00,0.0195
2643.00,0.0194
2642.00,0.0193
2641.00,0.0193
2640.00,0.0192
2639.00,0.0191
2638.00,0.0190
2637.00,0.0188
2636.00,0.0187
2635.00,0.0187
2634.00,0.0186
2633.00,0.0186
2632.00,0.0185
2631.00,0.0184
2630.00,0.0182
2629.00,0.0181
2628.00,0.0180
2627.00,0.0179
2626.00,0.0179
2625.00,0.0178
2624.00,0.0176
2623.00,0.0175
2622.00,0.0174
2621.00,0.0173
2620.00,0.0172
2619.00,0.0172
2618.00,0.0171
2617.00,0.0170
2616.00,0.0169
2615.00,0.0168
2614.00,0.0167
