"Data Set 1, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 1, Fl Ex @ 405 nm:Fluorescence","Data Set 2, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 2, Fl Ex @ 405 nm:Fluorescence","Data Set 3, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 3, Fl Ex @ 405 nm:Fluorescence","Data Set 4, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 4, Fl Ex @ 405 nm:Fluorescence","Data Set 5, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 5, Fl Ex @ 405 nm:Fluorescence","Data Set 6, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 6, Fl Ex @ 405 nm:Fluorescence","Data Set 7, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 7, Fl Ex @ 405 nm:Fluorescence","Data Set 8, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 8, Fl Ex @ 405 nm:Fluorescence","Data Set 9, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 9, Fl Ex @ 405 nm:Fluorescence","Data Set 10, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 10, Fl Ex @ 405 nm:Fluorescence"
440.2,-0.001,440.2,-0.001,440.2,-0.000,440.2,0.059,440.2,0.187,440.2,0.313,440.2,0.452,440.2,0.578,440.2,0.097,440.2,0.168
441.0,-0.001,441.0,0.000,441.0,-0.001,441.0,0.061,441.0,0.191,441.0,0.321,441.0,0.462,441.0,0.593,441.0,0.099,441.0,0.171
441.9,-0.001,441.9,0.000,441.9,-0.000,441.9,0.063,441.9,0.194,441.9,0.328,441.9,0.471,441.9,0.602,441.9,0.102,441.9,0.175
442.7,-0.001,442.7,0.001,442.7,0.000,442.7,0.065,442.7,0.200,442.7,0.336,442.7,0.479,442.7,0.611,442.7,0.104,442.7,0.179
443.5,-0.000,443.5,0.000,443.5,0.000,443.5,0.066,443.5,0.203,443.5,0.341,443.5,0.487,443.5,0.621,443.5,0.107,443.5,0.184
444.3,-0.000,444.3,-0.000,444.3,-0.000,444.3,0.067,444.3,0.207,444.3,0.347,444.3,0.498,444.3,0.635,444.3,0.108,444.3,0.189
445.2,-0.000,445.2,-0.001,445.2,-0.000,445.2,0.068,445.2,0.211,445.2,0.353,445.2,0.507,445.2,0.647,445.2,0.111,445.2,0.194
446.0,-0.000,446.0,-0.001,446.0,-0.000,446.0,0.069,446.0,0.216,446.0,0.360,446.0,0.516,446.0,0.658,446.0,0.114,446.0,0.197
446.8,-0.000,446.8,-0.000,446.8,-0.000,446.8,0.071,446.8,0.221,446.8,0.369,446.8,0.524,446.8,0.672,446.8,0.117,446.8,0.202
447.7,0.000,447.7,0.000,447.7,0.001,447.7,0.074,447.7,0.227,447.7,0.376,447.7,0.533,447.7,0.684,447.7,0.121,447.7,0.206
448.5,-0.000,448.5,0.000,448.5,0.001,448.5,0.076,448.5,0.231,448.5,0.381,448.5,0.541,448.5,0.695,448.5,0.123,448.5,0.210
449.3,-0.000,449.3,0.000,449.3,0.001,449.3,0.077,449.3,0.235,449.3,0.387,449.3,0.549,449.3,0.702,449.3,0.125,449.3,0.212
450.1,-0.001,450.1,0.000,450.1,-0.000,450.1,0.077,450.1,0.238,450.1,0.393,450.1,0.557,450.1,0.710,450.1,0.126,450.1,0.215
451.0,-0.001,451.0,-0.000,451.0,-0.000,451.0,0.079,451.0,0.243,451.0,0.399,451.0,0.565,451.0,0.719,451.0,0.128,451.0,0.219
451.8,-0.002,451.8,-0.001,451.8,-0.000,451.8,0.081,451.8,0.247,451.8,0.404,451.8,0.572,451.8,0.730,451.8,0.130,451.8,0.223
452.6,-0.000,452.6,-0.001,452.6,0.000,452.6,0.081,452.6,0.248,452.6,0.406,452.6,0.575,452.6,0.737,452.6,0.131,452.6,0.224
453.4,0.001,453.4,-0.000,453.4,0.001,453.4,0.082,453.4,0.251,453.4,0.411,453.4,0.580,453.4,0.741,453.4,0.134,453.4,0.228
454.3,0.002,454.3,0.001,454.3,0.001,454.3,0.083,454.3,0.253,454.3,0.415,454.3,0.584,454.3,0.746,454.3,0.134,454.3,0.230
455.1,0.001,455.1,0.001,455.1,0.000,455.1,0.084,455.1,0.257,455.1,0.418,455.1,0.590,455.1,0.754,455.1,0.137,455.1,0.233
455.9,0.001,455.9,0.001,455.9,0.001,455.9,0.086,455.9,0.258,455.9,0.423,455.9,0.598,455.9,0.763,455.9,0.139,455.9,0.235
456.7,-0.000,456.7,-0.000,456.7,0.001,456.7,0.087,456.7,0.260,456.7,0.426,456.7,0.602,456.7,0.767,456.7,0.141,456.7,0.237
457.6,-0.001,457.6,-0.001,457.6,0.000,457.6,0.086,457.6,0.261,457.6,0.429,457.6,0.605,457.6,0.771,457.6,0.141,457.6,0.237
458.4,-0.001,458.4,-0.001,458.4,-0.001,458.4,0.087,458.4,0.263,458.4,0.432,458.4,0.609,458.4,0.777,458.4,0.141,458.4,0.239
